ds,yhat,yhat_lower,yhat_upper
2010-02-05,31205.121657211268,22327.247691841974,39744.02920922834
2010-02-12,37287.575897264804,28789.892022525106,46101.150626370705
2010-02-19,35632.498085609564,27151.511188481807,44206.37831328913
2010-02-26,27485.980164990848,18782.168620569017,35569.66099094698
2010-03-05,18701.5874875711,10399.934573657427,27056.779662868004
2010-03-12,15567.245380081538,7236.189887514661,24847.456835244833
2010-03-19,19841.967521104812,11193.349137644458,28167.886650371158
2010-03-26,27819.362013336267,18854.83183506433,36439.07920712605
2010-04-02,35309.93647185623,26427.83110466106,43880.95045828324
2010-04-09,36215.67367907796,27819.38780494011,44847.968219570816
2010-04-16,33173.254996122276,24705.1054997245,41423.11571002369
2010-04-23,28892.702080038867,20542.655917480442,37295.09630013344
2010-04-30,24801.39448591772,15849.763740854298,33391.80693682674
2010-05-07,20853.878334102963,12208.435032878548,28933.495451841394
2010-05-14,17204.48915998179,8553.781532885536,26041.821541579593
2010-05-21,15028.863796340132,6501.559156224983,23533.959947733296
2010-05-28,15020.684680788807,6494.960267327095,23384.290963619405
2010-06-04,16337.130264897187,7652.043943810962,24909.719494230892
2010-06-11,17158.950574996703,8802.26158423221,26342.933655841236
2010-06-18,16600.047357597847,8020.454804941944,25516.506709881887
2010-06-25,15754.238816171644,7273.954149644393,24402.432449798347
2010-07-02,16122.259374918674,7807.4335530768085,24496.314600827594
2010-07-09,17315.753434810893,9149.318905589464,25702.44427655253
2010-07-16,17991.65402953815,9601.327586147232,26360.844068725528
2010-07-23,17302.22063034643,9427.07828861025,25746.758567620225
2010-07-30,16070.815261761329,7045.641776156907,25037.89402596481
2010-08-06,15727.139535746346,7798.775212087459,24824.723584828404
2010-08-13,16405.008606068073,7560.497223157609,25491.907584319182
2010-08-20,16871.03083920347,7792.589105994425,25181.331577777022
2010-08-27,16534.13129367481,8003.533296902958,25213.894879205425
2010-09-03,16337.704296039938,7544.612648315082,25902.239987005385
2010-09-10,17517.741947480772,8643.084208639326,25800.95048088283
2010-09-17,19643.647913115612,11473.416978439192,28262.834292345095
2010-09-24,20845.165494388653,12797.222013319164,29371.580418772366
2010-10-01,20184.40984059903,11436.465733337533,28879.00577055601
2010-10-08,20318.051969873395,11732.541161543983,29006.93020070752
2010-10-15,23764.366744145937,14965.77847025473,32831.18012402106
2010-10-22,30028.261680144595,21448.302919370122,39151.65040255841
2010-10-29,34458.90887143364,25853.03122679184,43742.855949212
2010-11-05,32376.50090624114,23965.528535274138,40793.381686189736
2010-11-12,24408.078764832542,15460.780263245431,33003.297259207175
2010-11-19,17037.633553510546,9051.504477916165,25664.159689514057
2010-11-26,17326.574236105105,9208.37778322956,26008.604972216326
2010-12-03,26323.367040676174,17292.259618488508,34376.07054151167
2010-12-10,37899.34110140072,28758.019002655576,46680.55802727983
2010-12-17,43828.88756498706,34361.096091035935,51933.83442766254
2010-12-24,40083.96588148776,30999.881270153066,48025.93355781015
2010-12-31,29119.312674996832,20238.087244905673,37568.641022206306
2011-01-07,17735.156100210028,8849.53209322831,26076.465312892185
2011-01-14,10817.62305873464,1537.8989850143246,19278.32691345005
2011-01-21,11711.578124702917,2856.688249127376,20636.972598685483
2011-01-28,19358.600655333532,10349.330682390057,27693.316227739368
2011-02-04,29657.071910818155,21544.312811454052,38130.47745466138
2011-02-11,36913.87800314957,28742.34926909084,45374.40433363634
2011-02-18,36803.736176110695,28475.138231416833,45010.262799435965
2011-02-25,29576.979714398818,21178.90640829473,38714.36083871109
2011-03-04,20478.10261206921,12336.075842881954,28893.59126962281
2011-03-11,16120.245400343429,7668.81415605868,24751.895223598865
2011-03-18,19351.654634653285,10855.878197844817,28487.52300101794
2011-03-25,27258.20873601169,18443.993883358096,36199.74378120844
2011-04-01,34383.8913588071,25238.038939103084,42986.282132113134
2011-04-08,36371.405287413756,27421.35281231297,44472.300847232065
2011-04-15,33968.03555090387,25711.709193368893,42151.377193174274
2011-04-22,29829.033640903297,21094.839908588412,38476.28533116136
2011-04-29,25761.621075670486,17376.960181847826,34133.66055139472
2011-05-06,21885.42945827824,13362.091719002752,30850.05522848005
2011-05-13,18188.433148563625,9571.863117911433,26952.811014792656
2011-05-20,15490.391566498096,6621.541264375857,23898.152575246182
2011-05-27,14918.805125081337,6318.033703309701,23401.294798555635
2011-06-03,15943.37653920896,7675.847858718712,24270.134497831514
2011-06-10,16778.979381309466,7796.570883589754,25822.582918371572
2011-06-17,16400.430454852536,7535.759279154264,25355.613219794523
2011-06-24,15554.04851681156,7280.712592575463,23643.448682499722
2011-07-01,14201.25581178076,5243.5782315753295,22995.81541603507
2011-07-08,15396.564979165501,7490.148925915243,23947.945543386904
2011-07-15,16313.456690462197,8114.730370242986,25143.79024102926
2011-07-22,15832.879046872637,6760.639509588177,24233.547974636127
2011-07-29,14554.07596116893,6154.866047203345,23678.85372540481
2011-08-05,13962.842724507034,5079.922890251132,22799.11249055467
2011-08-12,14498.518344521044,5573.547661979983,23343.2471365584
2011-08-19,15116.789975961114,6295.264773887908,23095.59310227788
2011-08-26,14932.591043742126,6333.261777184679,23322.05604146603
2011-09-02,14634.16458587753,5909.421894725823,23178.54941299876
2011-09-09,15574.543771345207,7068.007556792823,24105.375818828652
2011-09-16,17714.759835715493,9185.948411639445,25764.178798578447
2011-09-23,19300.158486097975,10777.687364474355,28299.50921063886
2011-09-30,19201.868103315697,10503.191865381821,27890.53220651046
2011-10-07,19592.470448937664,11151.550319976692,28365.705032340917
2011-10-14,22435.488406886925,14214.51453723497,30534.03039275
2011-10-21,28486.966878543382,20015.459474019426,36561.67325276956
2011-10-28,33709.47376659973,25190.0963575639,42573.24510477944
2011-11-04,32985.623977347575,24561.376980123205,42062.5804187833
2011-11-11,25755.96776396496,17202.947591540375,34708.85452140442
2011-11-18,17791.388319155136,8842.569943167826,26602.026312542053
2011-11-25,16546.778156450044,7682.656367098731,24782.61347189594
2011-12-02,24411.7255352091,15969.419227953282,32945.90403468503
2011-12-09,36306.760831332824,27310.857708784108,44950.23138655482
2011-12-16,43830.5814789239,35736.086133223194,52222.891848822146
2011-12-23,41874.92313680541,33179.96207117186,50222.16930444156
2011-12-30,31854.11697818549,23444.103796683183,40235.88546518567
2012-01-06,22387.800460441053,13452.927541780535,31024.757104493205
2012-01-13,14324.873321333573,5185.28526195272,22307.56018525944
2012-01-20,13709.030457223434,5085.253646010172,22171.6270252623
2012-01-27,20272.111445663646,11655.932069702381,28827.760783070353
2012-02-03,30399.31741176402,22096.476663519534,39276.74047498041
2012-02-10,38501.47032553209,30323.76248035872,47181.589312764445
2012-02-17,39790.83860869224,31640.63363941665,49284.695160843745
2012-02-24,33539.47061231341,24728.136809721327,42007.430077337405
2012-03-02,24230.42941325268,15862.730651856302,32246.376377273384
2012-03-09,18624.666576654403,9531.848864677766,27344.03394783807
2012-03-16,20522.856890082177,12293.823817138498,28474.165291908284
2012-03-23,27942.305642691317,19177.88234581108,36401.16875010658
2012-03-30,35279.96994177273,27117.745814191734,44110.966827561344
2012-04-06,39211.385308875215,30944.89773172945,48191.44729224585
2012-04-13,37361.28670446976,28833.739978100373,46690.067629678575
2012-04-20,33301.96327898758,24632.484147956442,41727.7556711418
2012-04-27,29136.162835154966,20793.26556663861,37665.473406987185
2012-05-04,25206.44020106361,16879.59698333822,33964.66512452783
2012-05-11,21391.96627227263,11843.015111450293,30520.03245635435
2012-05-18,18483.66650174535,10055.777755779814,27176.65171186347
2012-05-25,17601.54113410898,9114.668657089796,26245.466379254678
2012-06-01,18541.706935697803,9673.625545961726,26908.63398410451
2012-06-08,19623.072260498688,10730.13506036095,28100.29458674977
2012-06-15,19489.926585592115,10427.895761029231,28120.49812372309
2012-06-22,18600.69411008426,9489.322668358445,27354.91186176507
2012-06-29,18440.270531591108,10091.344069678013,26998.97888118053
2012-07-06,20707.172501395205,12471.447078775554,29329.9005750329
2012-07-13,21775.605311612322,12653.879838504748,30665.378628670223
2012-07-20,21532.94962507609,12935.348018622377,30311.966649545302
